x,y,z,r,g,b
51.8302,71.4181,2.4115,0.8,0.8,0.8
46.8813,71.2746,8.7165,0.8,0.8,0.8
51.9557,71.306,6.0781,0.8,0.8,0.8
56.5719,82.8938,2.7057,0.8,0.8,0.8
46.0465,73.5759,4.8923,0.8,0.8,0.8
51.2948,84.3338,1.4787,0.8,0.8,0.8
55.2164,79.8944,-1.2918,0.8,0.8,0.8
55.1014,79.2044,3.8607,0.8,0.8,0.8
52.7871,73.7655,-1.3074,0.8,0.8,0.8
46.9583,76.4972,0.7687,0.8,0.8,0.8
49.3006,73.6471,8.4625,0.8,0.8,0.8
52.014,78.0136,-0.6362,0.8,0.8,0.8
59.6011,73.8758,-1.3014,0.8,0.8,0.8
54.0927,78.6299,-1.2903,0.8,0.8,0.8
47.3265,70.0344,2.2153,0.8,0.8,0.8
54.2205,80.7648,3.6921,0.8,0.8,0.8
57.4443,81.9933,2.6673,0.8,0.8,0.8
47.8263,75.3726,8.7235,0.8,0.8,0.8
55.4548,82.5142,1.8485,0.8,0.8,0.8
52.1647,81.4673,2.822,0.8,0.8,0.8
52.5407,78.1649,2.1433,0.8,0.8,0.8
52.0212,74.4571,4.8987,0.8,0.8,0.8
51.2747,72.7931,4.8684,0.8,0.8,0.8
52.968,78.8544,1.5596,0.8,0.8,0.8
54.8638,72.3694,-0.4378,0.8,0.8,0.8
47.2314,75.8062,8.7263,0.8,0.8,0.8
47.3174,70.0427,7.4322,0.8,0.8,0.8
51.9681,77.9934,1.5455,0.8,0.8,0.8
46.4024,71.7024,7.7276,0.8,0.8,0.8
55.757,79.0573,-1.2927,0.8,0.8,0.8
48.5782,76.5188,-1.3055,0.8,0.8,0.8
54.0807,76.2317,-1.2916,0.8,0.8,0.8
46.8404,71.6893,8.7194,0.8,0.8,0.8
50.8831,71.139,4.6295,0.8,0.8,0.8
46.6838,71.1322,3.176,0.8,0.8,0.8
58.7607,73.3956,2.7137,0.8,0.8,0.8
53.1249,71.2605,-0.7838,0.8,0.8,0.8
54.5142,74.4068,-0.5125,0.8,0.8,0.8
57.7097,79.8355,1.0039,0.8,0.8,0.8
46.5364,75.8791,8.7234,0.8,0.8,0.8
46.3714,73.0277,4.4204,0.8,0.8,0.8
58.7739,76.8023,-0.5841,0.8,0.8,0.8
58.8914,76.954,2.3524,0.8,0.8,0.8
48.4999,75.1566,8.723,0.8,0.8,0.8
49.3193,72.89,-1.3016,0.8,0.8,0.8
54.6833,71.8041,8.2909,0.8,0.8,0.8
56.2827,73.9102,-1.3165,0.8,0.8,0.8
