x,y,z,r,g,b
5501.3,6431.11,1822.94,0.8,0.8,0.8
192.903,6613.96,-26.2451,0.8,0.8,0.8
4102.52,2122.55,8.72803,0.8,0.8,0.8
579.395,1301.84,-59.2041,0.8,0.8,0.8
5804.43,2734.17,-96.6797,0.8,0.8,0.8
573.928,2866.34,-60.7605,0.8,0.8,0.8
5361.67,6275.07,1526.21,0.8,0.8,0.8
238.369,3161.78,-14.74,0.8,0.8,0.8
6161.8,6575.23,27.8931,0.8,0.8,0.8
2516.49,4071.63,855.713,0.8,0.8,0.8
222.939,6850.96,-33.6609,0.8,0.8,0.8
1697.27,4841.67,30.8228,0.8,0.8,0.8
1836.61,2778.37,715.515,0.8,0.8,0.8
5193.98,6602.45,473.633,0.8,0.8,0.8
6411.33,5342.91,-14.0991,0.8,0.8,0.8
3840.41,102.625,-124.969,0.8,0.8,0.8
2799.67,1703.56,77.6062,0.8,0.8,0.8
2322.26,6685.9,-55.9082,0.8,0.8,0.8
6925.57,119.535,-147.705,0.8,0.8,0.8
5057.07,1729.61,35.2173,0.8,0.8,0.8
1488.42,3218.63,1078.74,0.8,0.8,0.8
7105.1,887.584,-112.976,0.8,0.8,0.8
5962.17,5889.78,14.1296,0.8,0.8,0.8
860.744,3051.89,-39.1235,0.8,0.8,0.8
7183.47,1590.1,-115.479,0.8,0.8,0.8
5826.41,6410.24,903.046,0.8,0.8,0.8
6377.88,1022.14,-115.753,0.8,0.8,0.8
3164.52,4428.26,26.6724,0.8,0.8,0.8
6438.2,4075.32,-12.7869,0.8,0.8,0.8
6926.31,669.842,1751.68,0.8,0.8,0.8
587.982,518.715,33.6609,0.8,0.8,0.8
2559.66,3518.25,1144.01,0.8,0.8,0.8
1633.6,2585.22,822.906,0.8,0.8,0.8
5580.92,6678.18,800.354,0.8,0.8,0.8
1521.58,6217.39,-73.5168,0.8,0.8,0.8
4643.48,2638.57,2.50244,0.8,0.8,0.8
7275.91,1005.51,-66.3452,0.8,0.8,0.8
224.358,2611.62,-32.6538,0.8,0.8,0.8
3537.39,3998.52,1141.66,0.8,0.8,0.8
6225.5,4164.52,2.50244,0.8,0.8,0.8
5581.77,4574.76,34.3018,0.8,0.8,0.8
4117.96,3706.92,481.14,0.8,0.8,0.8
6855.37,4486.12,-42.2058,0.8,0.8,0.8
2638.26,5694.96,3.72315,0.8,0.8,0.8
3425.57,4504.9,73.3032,0.8,0.8,0.8
6470.55,7569.71,-85.6323,0.8,0.8,0.8
4159.21,4000.84,826.813,0.8,0.8,0.8
1315.11,3105.38,522.003,0.8,0.8,0.8
4551.17,4874.25,17.1509,0.8,0.8,0.8
6587.72,3353.55,-33.3862,0.8,0.8,0.8
6634.39,1814.56,-96.8933,0.8,0.8,0.8
4697.87,2174.37,-0.061035,0.8,0.8,0.8
5849.33,6303.6,936.829,0.8,0.8,0.8
6963.77,4090.95,-37.262,0.8,0.8,0.8
3656.04,3106.55,24.4751,0.8,0.8,0.8
3764.38,5378.28,90.9424,0.8,0.8,0.8
1154.69,1706.61,14.4653,0.8,0.8,0.8
4100.14,6685.86,-41.626,0.8,0.8,0.8
475.05,1893.36,-63.2629,0.8,0.8,0.8
4261.22,962.813,15.4114,0.8,0.8,0.8
3200.79,5888.11,3.90625,0.8,0.8,0.8
5583.38,6539.35,1408.6,0.8,0.8,0.8
2854.12,1620.65,76.9043,0.8,0.8,0.8
5179.98,636.696,-87.738,0.8,0.8,0.8
633.752,6588.8,-36.9873,0.8,0.8,0.8
265.707,6749.46,-31.7688,0.8,0.8,0.8
1779.49,1981.32,-19.3787,0.8,0.8,0.8
984.111,3043.94,-24.7192,0.8,0.8,0.8
6801.5,642.493,1990.26,0.8,0.8,0.8
