Slice'n'Swipe,Fast,FSite6,SliceNSwipe/FSite6_clouds_4p.annotation.csv
Slice'n'Swipe,Fast,Site20,SliceNSwipe/Site20_post_zs.annotation.csv
Slice'n'Swipe,Fast,LongHornBeetle,SliceNSwipe/LongHornBeetle_tail_2n.annotation.csv
Slice'n'Swipe,Fast,Lobby,SliceNSwipe/Lobby_facade_af.annotation.csv
Slice'n'Swipe,Fast,Site20,SliceNSwipe/Site20_dragon_6i.annotation.csv
Slice'n'Swipe,Fast,office2,SliceNSwipe/Office2_redbook_6b.annotation.csv
Slice'n'Swipe,Fast,Lobby,SliceNSwipe/Lobby_stairs_sk.annotation.csv
Slice'n'Swipe,Fast,office2,SliceNSwipe/Office2_monitors_7u.annotation.csv
Slice'n'Swipe,Fast,FSite8,SliceNSwipe/FSite8_bridge_4r.annotation.csv
Slice'n'Swipe,Precise,FSite6,SliceNSwipe/FSite6_clouds_4p.annotation.csv
Slice'n'Swipe,Precise,Site20,SliceNSwipe/Site20_post_zs.annotation.csv
Slice'n'Swipe,Precise,LongHornBeetle,SliceNSwipe/LongHornBeetle_tail_2n.annotation.csv
Slice'n'Swipe,Precise,Lobby,SliceNSwipe/Lobby_facade_af.annotation.csv
Slice'n'Swipe,Precise,Site20,SliceNSwipe/Site20_dragon_6i.annotation.csv
Slice'n'Swipe,Precise,office2,SliceNSwipe/Office2_redbook_6b.annotation.csv
Slice'n'Swipe,Precise,Lobby,SliceNSwipe/Lobby_stairs_sk.annotation.csv
Slice'n'Swipe,Precise,office2,SliceNSwipe/Office2_monitors_7u.annotation.csv
Slice'n'Swipe,Precise,FSite8,SliceNSwipe/FSite8_bridge_4r.annotation.csv
Slice'n'Swipe,Both,FSite6,SliceNSwipe/FSite6_clouds_4p.annotation.csv
Slice'n'Swipe,Both,Site20,SliceNSwipe/Site20_post_zs.annotation.csv
Slice'n'Swipe,Both,LongHornBeetle,SliceNSwipe/LongHornBeetle_tail_2n.annotation.csv
Slice'n'Swipe,Both,Lobby,SliceNSwipe/Lobby_facade_af.annotation.csv
Slice'n'Swipe,Both,Site20,SliceNSwipe/Site20_dragon_6i.annotation.csv
Slice'n'Swipe,Both,office2,SliceNSwipe/Office2_redbook_6b.annotation.csv
Slice'n'Swipe,Both,Lobby,SliceNSwipe/Lobby_stairs_sk.annotation.csv
Slice'n'Swipe,Both,office2,SliceNSwipe/Office2_monitors_7u.annotation.csv
Slice'n'Swipe,Both,FSite8,SliceNSwipe/FSite8_bridge_4r.annotation.csv
